time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-16T12:10:01.490Z,-20.752,-178.5652,598.93,5.3,mww,,61,4.376,0.88,us,us20008k6s,2017-05-13T01:03:22.040Z,"18km SE of Ndoi Island, Fiji",earthquake,10.5,5.3,0.103,9,reviewed,us,us
2017-02-16T07:02:05.500Z,-30.1677,-72.1093,9.84,5.4,mww,,136,0.795,1.04,us,us20008k59,2017-05-13T01:03:21.040Z,"77km WSW of Coquimbo, Chile",earthquake,4,3.2,0.048,41,reviewed,us,us
2017-02-16T05:38:34.620Z,-17.8233,-13.7371,10,5,mb,,58,7.871,0.58,us,us20008k4y,2017-05-13T01:03:21.040Z,"Southern Mid-Atlantic Ridge",earthquake,10.5,1.8,0.064,77,reviewed,us,us
2017-02-15T19:53:27.780Z,5.2456,96.1497,10,5,mb,,41,0.794,1.51,us,us20008k22,2017-05-13T01:03:21.040Z,"15km WNW of Reuleuet, Indonesia",earthquake,6.4,1.7,0.063,82,reviewed,us,us
2017-02-15T19:47:07.380Z,5.2964,96.066,13,5.4,mww,,35,0.88,1.29,us,us20008k1z,2017-05-13T01:03:21.040Z,"15km SE of Sigli, Indonesia",earthquake,5.3,1.7,0.061,26,reviewed,us,us
2017-02-15T18:53:38.570Z,-7.5161,107.3878,77.33,5,mb,,40,3.063,1.21,us,us20008k1a,2017-05-13T01:03:21.040Z,"4km SE of Kaum, Indonesia",earthquake,8.5,4.6,0.057,99,reviewed,us,us
2017-02-15T14:07:29.500Z,3.9156,126.8062,44.56,5,mb,,107,3.172,0.79,us,us20008jzd,2017-05-13T01:03:21.040Z,"221km SE of Sarangani, Philippines",earthquake,4.5,7,0.064,79,reviewed,us,us
2017-02-15T03:05:31.580Z,-56.0673,-26.6769,42.83,5.1,mb,,81,18.611,0.75,us,us20008jvg,2017-05-13T01:03:20.040Z,"77km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,15,5.8,0.077,54,reviewed,us,us
2017-02-14T22:19:56.280Z,-5.8787,154.618,75.19,5.1,mb,,100,2.964,0.75,us,us20008jtf,2017-05-13T01:03:20.040Z,"107km WNW of Panguna, Papua New Guinea",earthquake,8.3,7.2,0.072,63,reviewed,us,us
2017-02-14T16:26:19.710Z,23.207,125.0875,10,5.1,mb,,98,2.277,0.74,us,us20008jpk,2017-05-13T01:03:19.040Z,"157km SE of Ishigaki, Japan",earthquake,8.9,1.8,0.053,114,reviewed,us,us
2017-02-14T09:38:32.330Z,-23.8415,-66.6097,179.91,5.4,mww,,18,2.444,1.02,us,us20008jmj,2017-05-13T01:03:19.040Z,"51km NW of San Antonio de los Cobres, Argentina",earthquake,6.6,3.6,0.047,43,reviewed,us,us
2017-02-13T20:03:58.430Z,9.8378,125.4575,10,5,mb,,88,2.753,0.92,us,us20008jk1,2017-05-13T01:03:19.040Z,"3km NNE of Mabua, Philippines",earthquake,7.7,1.8,0.049,135,reviewed,us,us
2017-02-13T12:31:54.970Z,-15.6941,-177.3914,387.56,5.1,mb,,100,5.712,1.21,us,us20008ji6,2017-05-13T01:03:18.040Z,"175km SSE of Sigave, Wallis and Futuna",earthquake,12.5,6.1,0.058,96,reviewed,us,us
2017-02-13T07:17:12.642Z,62.512,-142.7477,8.9,5.3,ml,,,,0.93,ak,ak15260927,2017-05-13T01:03:18.040Z,"92km S of Tok, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-02-13T03:08:34.340Z,-8.1053,117.6496,212.26,5.2,mb,,51,3.48,1,us,us20008jg3,2017-05-13T01:03:18.040Z,"13km WNW of Labuhankananga, Indonesia",earthquake,6.5,4.8,0.059,96,reviewed,us,us
2017-02-12T16:21:11.430Z,-27.8715,-71.3402,16.17,5.1,mww,,134,0.406,0.6,us,us20008jd5,2017-05-13T01:03:18.040Z,"96km NW of Vallenar, Chile",earthquake,5.4,3.9,0.089,12,reviewed,us,us
2017-02-12T13:48:16.090Z,39.6004,26.0884,6.01,5.3,mww,,41,1.294,0.52,us,us20008jcc,2017-05-13T01:03:17.040Z,"24km WNW of Behram, Turkey",earthquake,4.9,3.6,0.055,32,reviewed,us,us
2017-02-12T13:36:55.050Z,40.2182,142.3081,43.59,5,mb,,51,1.106,0.72,us,us20008jc6,2017-05-13T01:03:17.040Z,"71km NNE of Miyako, Japan",earthquake,5.7,5.7,0.038,217,reviewed,us,us
2017-02-12T09:32:32.700Z,-2.2442,139.011,48.61,5.1,mb,,46,6.788,1,us,us20008jbf,2017-05-13T01:03:17.040Z,"180km WNW of Abepura, Indonesia",earthquake,9.5,5.4,0.065,76,reviewed,us,us
